"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"15295700",0.229372184821691,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TERROR R AT MOUTH NR KODIAK AK","ST",574141,1530942,57.69397807,-153.1639087,"M","T","NAD27","NAD83","02","02","150","US","  SWNES05 T029S R024W S","KODIAK C-4","  63360",30,"M",13,"NGVD29","19020701",NA,NA,"YNNNYNNNNNNNNYNNNNNNNNNNNNNNNN",NA,NA,46.1,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15297610",0.227466020205635,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","RUSSELL C NR COLD BAY AK","ST",551040,1624115,55.1769059,-162.6895109,"N","F","NAD27","NAD83","02","02","013","US","    NWS07 T058S R088W S","COLD BAY A-3","  63360",7.65,"L",0.01,"NGVD29","19030101",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,31,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15300100",0.087252473038437,6.78356164383562,2010-01-01,2016-10-11,0,"USGS","BEAR C NR ILIAMNA AK","ST",594928,1545256,59.8237617,-154.8844049,"M","S","NAD27","NAD83","02","02","164","US","  SWSWS13 T004S R033W S","ILIAMNA D-6","  63360",250,"M",25,"NGVD29","19030205",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,5.5,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15300200",0.118650721393301,3.80547945205479,2010-01-01,2013-10-20,0,"USGS","ROADHOUSE C NR ILIAMNA AK","ST",594526,1545049,59.75653898,-154.8491212,"M","S","NAD27","NAD83","02","02","164","US","NENESWS11 T005S R032W S","ILIAMNA D-5","  63360",62,"M",12,"NGVD29","19030206",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20131001,19.2,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15300250",0.128265987113039,6.78082191780822,2010-01-01,2016-10-10,0,"USGS","UPPER TALARIK C NR ILIAMNA AK","ST",594712,1551511,59.7859761,-155.2552406,"N","S","NAD27","NAD83","02","02","164","US","NENWSWS35 T004S R035W S","ILIAMNA D-7","  63360",425,"M",25,"NGVD29","19030206",NA,NA,"YNNNYNYNNNNNNYNNNNNNNNNNNNNNNN",NA,NA,85.7,NA,"AKST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"15300300",0.230140730286009,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","ILIAMNA R NR PEDRO BAY AK","ST",594531,1535041,59.7579499,-153.8468866,"M","S","NAD27","NAD83","02","02","164","US","  NESES10 T005S R 27W S","ILIAMNA D-3","  63360",80,"M",50,"NGVD29","19030206",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,129,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Med"
"15300520",0.0501468571359217,3.4986301369863,2010-01-01,2013-06-30,0,"USGS","KASKANAK C NR IGIUGIG AK","ST",592018,1560431,59.337622,-156.077443,"G","S","NAD27","NAD83","02","02","164","US","    SES06 T010S R040W S","DILLINGHAM B-1","  63360",50,"M",25,"NGVD29","19030206",NA,"C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,20131001,343,NA,"AKST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"15301500",0.044876982188428,3.05479452054795,2011-09-30,2014-10-18,0,"USGS","ALLEN R NR ALEKNAGIK AK","ST",600917,1584404,60.1539944,-158.7366923,"M","S","NAD27","NAD83","02","02","070","US","NWNWNWS30 T001N R055W S","TAYLOR MTNS A-8","  63360",550,"M",50,"NGVD29","19030301",NA,"C","YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,270,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15302000",0.0232341358733301,9.9972602739726,2010-01-01,2019-12-31,0.000821467688937538,"USGS","NUYAKUK R NR DILLINGHAM AK","ST",595608,1581116,59.93483,-158.1900062,"M","U","NAD27","NAD83","02","02","070","US",NA,NA,"  63360",325,"U",25,"NGVD29","19030301",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,1510,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15302300",0.0526991161987975,4.7972602739726,2010-01-01,2014-10-17,0,"USGS","MULCHATNA R AB STUYAHOK R NR NEW STUYAHOK AK","ST",595018,1564130,59.8376227,-156.6938693,"G","S","NAD27","NAD83","02","02","070","US","SWSWSWS09 T004S R043W S","DILLINGHAM D-2","  63360",250,"N",25,"NGVD29","19030302",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,3640,NA,"AKST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"15302320",0.0590593574595805,4.7972602739726,2010-01-01,2014-10-17,0,"USGS","STUYAHOK R NR NEW STUYAHOK AK","ST",594835,1563953,59.80901149,-156.6669229,"G","S","NAD27","NAD83","02","02","070","US","SESESES21 T004S R043W S","DILLINGHAM D-2","  63360",295,"N",1,"NGVD29","19030302",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,274,NA,"AKST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"15303900",0.0383185337067971,9.59178082191781,2010-06-01,2019-12-31,0,"USGS","KUSKOKWIM R AT LISKYS CROSSING NR STONY RIVER AK","ST",620307,1561238,62.0512773,-156.2129069,"M","S","NAD27","NAD83","02","02","290","US","SWNESES27 T023N R038W S","IDITAROD A-1","  63360",250,"M",25,"NGVD29","19030405",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,15622,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15304000",0.0394144043215598,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","KUSKOKWIM R AT CROOKED CREEK AK","ST",615210,1580641,61.8687445,-158.1137848,"M","T","NAD27","NAD83","02","02","050","US","NESWNES32 T021N R048W S","SLEETMUTE D-6","  63360",150,"M",50,"NGVD29","19030501",NA,NA,"YNNNYNNNNNNNNYNNNNNNNNNNNNNNNN",NA,NA,31100,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15304010",0.158871799848233,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","CROOKED C AB AIRPORT RD NR CROOKED CREEK AK","ST",615324,1580916,61.8893006,-158.156842,"G","S","NAD27","NAD83","02","02","050","US","SESWSWS19 T021N R048W S","SLEETMUTE D-6","  63360",175,"M",25,"NGVD29","19030501",NA,"C","YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN",NA,20131001,330,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
